step,S,V,omega,R,J,K,N,state
0,0.06327282711870215,0.012319734554139514,0.013941177426354678,0.0907950082667793,0.04,-0.12,200,Static Async
100,0.05211908885522457,0.00016178911670779904,0.0057021027654220015,0.038269032019955004,0.04,-0.12,200,Static Async
200,0.04181897213053686,8.312754346058768e-05,0.0040787001548977745,0.017469701060274626,0.04,-0.12,200,Static Async
300,0.03212132174781948,5.949440264940604e-05,0.00339725585505819,0.009333329432960974,0.04,-0.12,200,Static Async
400,0.024127460729661467,4.589715820214618e-05,0.002933674717392476,0.0061717749378291335,0.04,-0.12,200,Static Async
500,0.01790543408980348,3.5779936982572996e-05,0.0025753207191451023,0.0049540555913968375,0.04,-0.12,200,Static Async
600,0.013105925471490932,2.9307415482296353e-05,0.0023015514562710004,0.00446408750066715,0.04,-0.12,200,Static Async
700,0.009282545603224206,2.5892733785256816e-05,0.002092716354102264,0.004231080677802352,0.04,-0.12,200,Static Async
800,0.006763442454167388,2.4022729111293416e-05,0.0019209007071390616,0.004086631432935107,0.04,-0.12,200,Static Async
900,0.006873440710953851,2.2606465304054005e-05,0.0017816160581683338,0.00397403252670426,0.04,-0.12,200,Static Async
1000,0.007274205713998209,2.1727608355895733e-05,0.0016604117869991608,0.0038739160626254598,0.04,-0.12,200,Static Async
1100,0.007702647699819816,2.1162875960353205e-05,0.001556767147123672,0.003780493355215475,0.04,-0.12,200,Static Async
1200,0.008013305201753853,1.963566836599857e-05,0.0014708492005893303,0.0036953388989271804,0.04,-0.12,200,Static Async
1300,0.00811297713702677,1.7857101707934652e-05,0.0014027197426309313,0.0036234249578961293,0.04,-0.12,200,Static Async
1400,0.008005533419181251,1.6942992852409924e-05,0.0013435694622871753,0.003567729031591655,0.04,-0.12,200,Static Async
1500,0.007761913888510838,1.66836911338146e-05,0.0012902473448605178,0.003526376314745142,0.04,-0.12,200,Static Async
1600,0.007453500382570545,1.6652368137489103e-05,0.0012432282701437148,0.0034946390017789376,0.04,-0.12,200,Static Async
1700,0.007128861738206658,1.6591378134638172e-05,0.0012008986424915547,0.003467829227524957,0.04,-0.12,200,Static Async
1800,0.006815561508593964,1.6303896405934042e-05,0.0011621925411823496,0.003442328312095513,0.04,-0.12,200,Static Async
1900,0.0065259997565324775,1.574821860605069e-05,0.0011279483254082346,0.0034160232476337857,0.04,-0.12,200,Static Async
2000,0.006261768595025835,1.4971101409887648e-05,0.001097926966445839,0.0033887457588515947,0.04,-0.12,200,Static Async
2100,0.006660378817933405,1.3909875416969182e-05,0.0010686328986699634,0.003361678812808911,0.04,-0.12,200,Static Async
2200,0.0070576781821106525,1.2531119662557055e-05,0.0010391149250838394,0.003336014860415804,0.04,-0.12,200,Static Async
2300,0.0073951284060142395,1.1034792996901364e-05,0.0010108817912784617,0.003312324069481219,0.04,-0.12,200,Static Async
2400,0.0076636418001103605,9.598765744360546e-06,0.0009836744601860793,0.003290877488638309,0.04,-0.12,200,Static Async
2500,0.007864470227551821,8.327950479977415e-06,0.0009579575577237653,0.003271976003029935,0.04,-0.12,200,Static Async
2600,0.008006181016411281,7.246544134623208e-06,0.0009327707720236056,0.0032559439878335284,0.04,-0.12,200,Static Async
2700,0.008100786730512574,6.337008367459015e-06,0.0009077980710597622,0.0032430284303211925,0.04,-0.12,200,Static Async
2800,0.008160558962760165,5.580646043013618e-06,0.0008837217019953547,0.003233345033688028,0.04,-0.12,200,Static Async
2900,0.00819618823737834,4.953455430866817e-06,0.0008607416430143955,0.003226872424589071,0.04,-0.12,200,Static Async
3000,0.008216147608824349,4.429900144345109e-06,0.0008383925329806142,0.00322346843501015,0.04,-0.12,200,Static Async
3100,0.008226765186301015,3.993433232786013e-06,0.0008166423900532571,0.0032228933187358555,0.04,-0.12,200,Static Async
3200,0.008232580245712032,3.6307004821173315e-06,0.0007958462136011147,0.0032248343763236014,0.04,-0.12,200,Static Async
3300,0.008236744980658371,3.3278665384913493e-06,0.0007755760469467354,0.003228929993615802,0.04,-0.12,200,Static Async
3400,0.008241375461073085,3.074402409949718e-06,0.0007562519991656025,0.0032347919064932705,0.04,-0.12,200,Static Async
3500,0.008247828737122041,2.8619206975644133e-06,0.0007387995629143385,0.0032420247713258058,0.04,-0.12,200,Static Async
3600,0.008256912018865406,2.6826689570077123e-06,0.0007220472668916011,0.0032502424293567697,0.04,-0.12,200,Static Async
3700,0.008269037549772273,2.530326405568603e-06,0.0007058085193674346,0.003259080604926755,0.04,-0.12,200,Static Async
3800,0.008284336371923617,2.400914354835299e-06,0.0006901002460772742,0.0032682060918568763,0.04,-0.12,200,Static Async
3900,0.008302741575776661,2.2913388110878105e-06,0.0006752545635579255,0.0032773227149266028,0.04,-0.12,200,Static Async
4000,0.008324049004099113,2.200211159936417e-06,0.0006611101190084012,0.0032861744954213843,0.04,-0.12,200,Static Async
4100,0.00834796130848417,2.1240751614584952e-06,0.0006474488950206192,0.0032945465124760297,0.04,-0.12,200,Static Async
4200,0.008374119745212294,2.0574128850693055e-06,0.0006344404572149687,0.0033022639550259873,0.04,-0.12,200,Static Async
4300,0.008402127010363495,1.998203045128752e-06,0.0006216872825835385,0.0033091898234998865,0.04,-0.12,200,Static Async
4400,0.008431563618772373,1.9451801411715296e-06,0.0006093899559368676,0.0033152216840206298,0.04,-0.12,200,Static Async
4500,0.008461999730559751,1.8985687812407592e-06,0.0005973023458641036,0.0033202878144285566,0.04,-0.12,200,Static Async
4600,0.008493003860006837,1.8568752726433324e-06,0.000585765161818852,0.003324343019664925,0.04,-0.12,200,Static Async
4700,0.008524149526419672,1.8184138104877372e-06,0.0005748449633730113,0.003327364338649146,0.04,-0.12,200,Static Async
4800,0.008555020602819503,1.7826803323597295e-06,0.0005642024041282001,0.003329346817352828,0.04,-0.12,200,Static Async
4900,0.008585215872306465,1.7493158311900802e-06,0.0005538941582179602,0.003330299483003445,0.04,-0.12,200,Static Async
5000,0.008614353105488075,1.718052164133792e-06,0.0005440699647001335,0.0033302416209453566,0.04,-0.12,200,Static Async
5100,0.008642072819817985,1.6887004860938768e-06,0.0005346589323215634,0.0033291994271481243,0.04,-0.12,200,Static Async
