N,J,K,seed,transient_time,converged,window_size,threshold
100,0.2,-0.5,0,100,True,50,0.01
100,0.2,-0.5,1,50,True,50,0.01
100,0.2,-0.5,10,103,True,50,0.01
100,0.2,-0.5,11,61,True,50,0.01
100,0.2,-0.5,12,128,True,50,0.01
100,0.2,-0.5,13,89,True,50,0.01
100,0.2,-0.5,14,64,True,50,0.01
100,0.2,-0.5,15,91,True,50,0.01
100,0.2,-0.5,16,50,True,50,0.01
100,0.2,-0.5,17,62,True,50,0.01
100,0.2,-0.5,18,54,True,50,0.01
100,0.2,-0.5,19,69,True,50,0.01
100,0.2,-0.5,2,116,True,50,0.01
100,0.2,-0.5,20,73,True,50,0.01
100,0.2,-0.5,21,75,True,50,0.01
100,0.2,-0.5,22,88,True,50,0.01
100,0.2,-0.5,23,106,True,50,0.01
100,0.2,-0.5,24,94,True,50,0.01
100,0.2,-0.5,25,78,True,50,0.01
100,0.2,-0.5,26,103,True,50,0.01
100,0.2,-0.5,27,88,True,50,0.01
100,0.2,-0.5,28,60,True,50,0.01
100,0.2,-0.5,29,80,True,50,0.01
100,0.2,-0.5,3,85,True,50,0.01
100,0.2,-0.5,4,94,True,50,0.01
100,0.2,-0.5,5,80,True,50,0.01
100,0.2,-0.5,6,83,True,50,0.01
100,0.2,-0.5,7,82,True,50,0.01
100,0.2,-0.5,8,90,True,50,0.01
100,0.2,-0.5,9,72,True,50,0.01
110,0.2,-0.5,0,60,True,50,0.01
110,0.2,-0.5,1,68,True,50,0.01
110,0.2,-0.5,10,118,True,50,0.01
110,0.2,-0.5,11,76,True,50,0.01
110,0.2,-0.5,12,90,True,50,0.01
110,0.2,-0.5,13,64,True,50,0.01
110,0.2,-0.5,14,116,True,50,0.01
110,0.2,-0.5,15,54,True,50,0.01
110,0.2,-0.5,16,50,True,50,0.01
110,0.2,-0.5,17,84,True,50,0.01
110,0.2,-0.5,18,62,True,50,0.01
110,0.2,-0.5,19,85,True,50,0.01
110,0.2,-0.5,2,69,True,50,0.01
110,0.2,-0.5,20,62,True,50,0.01
110,0.2,-0.5,21,66,True,50,0.01
110,0.2,-0.5,22,73,True,50,0.01
110,0.2,-0.5,23,100,True,50,0.01
110,0.2,-0.5,24,67,True,50,0.01
110,0.2,-0.5,25,61,True,50,0.01
110,0.2,-0.5,26,97,True,50,0.01
110,0.2,-0.5,27,75,True,50,0.01
110,0.2,-0.5,28,58,True,50,0.01
110,0.2,-0.5,29,56,True,50,0.01
110,0.2,-0.5,3,105,True,50,0.01
110,0.2,-0.5,4,108,True,50,0.01
110,0.2,-0.5,5,87,True,50,0.01
110,0.2,-0.5,6,70,True,50,0.01
110,0.2,-0.5,7,64,True,50,0.01
110,0.2,-0.5,8,89,True,50,0.01
110,0.2,-0.5,9,110,True,50,0.01
120,0.2,-0.5,0,50,True,50,0.01
