N,J,K,seed,transient_time,converged,window_size,threshold
100,0.2,0.2,0,311,True,50,0.01
100,0.2,0.2,1,221,True,50,0.01
100,0.2,0.2,10,199,True,50,0.01
100,0.2,0.2,11,201,True,50,0.01
100,0.2,0.2,12,254,True,50,0.01
100,0.2,0.2,13,214,True,50,0.01
100,0.2,0.2,14,180,True,50,0.01
100,0.2,0.2,15,176,True,50,0.01
100,0.2,0.2,16,200,True,50,0.01
100,0.2,0.2,17,170,True,50,0.01
100,0.2,0.2,18,224,True,50,0.01
100,0.2,0.2,19,261,True,50,0.01
100,0.2,0.2,2,175,True,50,0.01
100,0.2,0.2,20,169,True,50,0.01
100,0.2,0.2,21,214,True,50,0.01
100,0.2,0.2,22,244,True,50,0.01
100,0.2,0.2,23,216,True,50,0.01
100,0.2,0.2,24,221,True,50,0.01
100,0.2,0.2,25,190,True,50,0.01
100,0.2,0.2,26,256,True,50,0.01
100,0.2,0.2,27,199,True,50,0.01
100,0.2,0.2,28,184,True,50,0.01
100,0.2,0.2,29,202,True,50,0.01
100,0.2,0.2,3,171,True,50,0.01
100,0.2,0.2,4,202,True,50,0.01
100,0.2,0.2,5,255,True,50,0.01
100,0.2,0.2,6,214,True,50,0.01
100,0.2,0.2,7,204,True,50,0.01
100,0.2,0.2,8,244,True,50,0.01
100,0.2,0.2,9,204,True,50,0.01
110,0.2,0.2,0,253,True,50,0.01
110,0.2,0.2,1,229,True,50,0.01
110,0.2,0.2,10,224,True,50,0.01
110,0.2,0.2,11,232,True,50,0.01
110,0.2,0.2,12,248,True,50,0.01
110,0.2,0.2,13,183,True,50,0.01
110,0.2,0.2,14,203,True,50,0.01
110,0.2,0.2,15,172,True,50,0.01
110,0.2,0.2,16,235,True,50,0.01
110,0.2,0.2,17,181,True,50,0.01
110,0.2,0.2,18,238,True,50,0.01
110,0.2,0.2,19,210,True,50,0.01
110,0.2,0.2,2,216,True,50,0.01
110,0.2,0.2,20,183,True,50,0.01
110,0.2,0.2,21,234,True,50,0.01
110,0.2,0.2,22,195,True,50,0.01
110,0.2,0.2,23,224,True,50,0.01
110,0.2,0.2,24,219,True,50,0.01
110,0.2,0.2,25,199,True,50,0.01
110,0.2,0.2,26,278,True,50,0.01
110,0.2,0.2,27,213,True,50,0.01
110,0.2,0.2,28,217,True,50,0.01
110,0.2,0.2,29,179,True,50,0.01
110,0.2,0.2,3,224,True,50,0.01
110,0.2,0.2,4,201,True,50,0.01
110,0.2,0.2,5,242,True,50,0.01
110,0.2,0.2,6,197,True,50,0.01
110,0.2,0.2,7,224,True,50,0.01
110,0.2,0.2,8,203,True,50,0.01
110,0.2,0.2,9,237,True,50,0.01
120,0.2,0.2,0,254,True,50,0.01
120,0.2,0.2,1,203,True,50,0.01
120,0.2,0.2,10,196,True,50,0.01
120,0.2,0.2,11,227,True,50,0.01
120,0.2,0.2,12,270,True,50,0.01
120,0.2,0.2,13,182,True,50,0.01
120,0.2,0.2,14,199,True,50,0.01
120,0.2,0.2,15,184,True,50,0.01
120,0.2,0.2,16,254,True,50,0.01
120,0.2,0.2,17,203,True,50,0.01
120,0.2,0.2,18,228,True,50,0.01
120,0.2,0.2,19,191,True,50,0.01
120,0.2,0.2,2,195,True,50,0.01
120,0.2,0.2,20,180,True,50,0.01
120,0.2,0.2,21,211,True,50,0.01
120,0.2,0.2,22,235,True,50,0.01
120,0.2,0.2,23,277,True,50,0.01
120,0.2,0.2,24,217,True,50,0.01
120,0.2,0.2,25,186,True,50,0.01
120,0.2,0.2,26,268,True,50,0.01
120,0.2,0.2,27,179,True,50,0.01
120,0.2,0.2,28,241,True,50,0.01
120,0.2,0.2,29,173,True,50,0.01
120,0.2,0.2,3,196,True,50,0.01
120,0.2,0.2,4,214,True,50,0.01
120,0.2,0.2,5,216,True,50,0.01
120,0.2,0.2,6,187,True,50,0.01
120,0.2,0.2,7,190,True,50,0.01
120,0.2,0.2,8,222,True,50,0.01
120,0.2,0.2,9,199,True,50,0.01
130,0.2,0.2,0,221,True,50,0.01
130,0.2,0.2,1,205,True,50,0.01
130,0.2,0.2,10,193,True,50,0.01
130,0.2,0.2,11,199,True,50,0.01
130,0.2,0.2,12,265,True,50,0.01
130,0.2,0.2,13,205,True,50,0.01
130,0.2,0.2,14,251,True,50,0.01
130,0.2,0.2,15,203,True,50,0.01
130,0.2,0.2,16,287,True,50,0.01
130,0.2,0.2,17,203,True,50,0.01
130,0.2,0.2,18,235,True,50,0.01
130,0.2,0.2,19,214,True,50,0.01
130,0.2,0.2,2,176,True,50,0.01
130,0.2,0.2,20,185,True,50,0.01
130,0.2,0.2,21,224,True,50,0.01
130,0.2,0.2,22,193,True,50,0.01
130,0.2,0.2,23,242,True,50,0.01
130,0.2,0.2,24,199,True,50,0.01
130,0.2,0.2,25,216,True,50,0.01
130,0.2,0.2,26,215,True,50,0.01
130,0.2,0.2,27,204,True,50,0.01
130,0.2,0.2,28,239,True,50,0.01
130,0.2,0.2,29,202,True,50,0.01
130,0.2,0.2,3,184,True,50,0.01
130,0.2,0.2,4,210,True,50,0.01
130,0.2,0.2,5,219,True,50,0.01
130,0.2,0.2,6,213,True,50,0.01
130,0.2,0.2,7,221,True,50,0.01
130,0.2,0.2,8,210,True,50,0.01
130,0.2,0.2,9,265,True,50,0.01
140,0.2,0.2,0,202,True,50,0.01
140,0.2,0.2,1,224,True,50,0.01
140,0.2,0.2,10,223,True,50,0.01
140,0.2,0.2,11,218,True,50,0.01
140,0.2,0.2,12,342,True,50,0.01
140,0.2,0.2,13,203,True,50,0.01
140,0.2,0.2,14,209,True,50,0.01
140,0.2,0.2,15,214,True,50,0.01
140,0.2,0.2,16,267,True,50,0.01
140,0.2,0.2,17,188,True,50,0.01
140,0.2,0.2,18,212,True,50,0.01
140,0.2,0.2,19,192,True,50,0.01
140,0.2,0.2,2,189,True,50,0.01
140,0.2,0.2,20,194,True,50,0.01
140,0.2,0.2,21,227,True,50,0.01
140,0.2,0.2,22,229,True,50,0.01
140,0.2,0.2,23,228,True,50,0.01
140,0.2,0.2,24,202,True,50,0.01
140,0.2,0.2,25,264,True,50,0.01
140,0.2,0.2,26,326,True,50,0.01
140,0.2,0.2,27,201,True,50,0.01
140,0.2,0.2,28,221,True,50,0.01
140,0.2,0.2,29,188,True,50,0.01
140,0.2,0.2,3,233,True,50,0.01
140,0.2,0.2,4,269,True,50,0.01
140,0.2,0.2,5,186,True,50,0.01
140,0.2,0.2,6,228,True,50,0.01
140,0.2,0.2,7,236,True,50,0.01
140,0.2,0.2,8,226,True,50,0.01
140,0.2,0.2,9,254,True,50,0.01
150,0.2,0.2,0,226,True,50,0.01
150,0.2,0.2,1,183,True,50,0.01
150,0.2,0.2,10,211,True,50,0.01
150,0.2,0.2,11,224,True,50,0.01
150,0.2,0.2,12,217,True,50,0.01
150,0.2,0.2,13,193,True,50,0.01
150,0.2,0.2,14,174,True,50,0.01
150,0.2,0.2,15,211,True,50,0.01
150,0.2,0.2,16,235,True,50,0.01
150,0.2,0.2,17,240,True,50,0.01
150,0.2,0.2,18,203,True,50,0.01
150,0.2,0.2,19,206,True,50,0.01
150,0.2,0.2,2,213,True,50,0.01
150,0.2,0.2,20,189,True,50,0.01
150,0.2,0.2,21,240,True,50,0.01
150,0.2,0.2,22,213,True,50,0.01
150,0.2,0.2,23,213,True,50,0.01
150,0.2,0.2,24,211,True,50,0.01
150,0.2,0.2,25,232,True,50,0.01
150,0.2,0.2,26,236,True,50,0.01
150,0.2,0.2,27,214,True,50,0.01
150,0.2,0.2,28,234,True,50,0.01
150,0.2,0.2,29,223,True,50,0.01
150,0.2,0.2,3,201,True,50,0.01
150,0.2,0.2,4,219,True,50,0.01
150,0.2,0.2,5,214,True,50,0.01
150,0.2,0.2,6,223,True,50,0.01
150,0.2,0.2,7,235,True,50,0.01
150,0.2,0.2,8,220,True,50,0.01
150,0.2,0.2,9,308,True,50,0.01
160,0.2,0.2,0,240,True,50,0.01
160,0.2,0.2,1,169,True,50,0.01
160,0.2,0.2,10,194,True,50,0.01
160,0.2,0.2,11,224,True,50,0.01
160,0.2,0.2,12,239,True,50,0.01
160,0.2,0.2,13,202,True,50,0.01
160,0.2,0.2,14,179,True,50,0.01
160,0.2,0.2,15,232,True,50,0.01
160,0.2,0.2,16,215,True,50,0.01
160,0.2,0.2,17,199,True,50,0.01
160,0.2,0.2,18,207,True,50,0.01
160,0.2,0.2,19,244,True,50,0.01
160,0.2,0.2,2,211,True,50,0.01
160,0.2,0.2,20,191,True,50,0.01
160,0.2,0.2,21,219,True,50,0.01
160,0.2,0.2,22,187,True,50,0.01
160,0.2,0.2,23,239,True,50,0.01
160,0.2,0.2,24,208,True,50,0.01
160,0.2,0.2,25,254,True,50,0.01
160,0.2,0.2,26,229,True,50,0.01
160,0.2,0.2,27,181,True,50,0.01
160,0.2,0.2,28,255,True,50,0.01
160,0.2,0.2,29,188,True,50,0.01
160,0.2,0.2,3,221,True,50,0.01
160,0.2,0.2,4,215,True,50,0.01
160,0.2,0.2,5,210,True,50,0.01
160,0.2,0.2,6,250,True,50,0.01
160,0.2,0.2,7,289,True,50,0.01
160,0.2,0.2,8,239,True,50,0.01
160,0.2,0.2,9,202,True,50,0.01
170,0.2,0.2,0,223,True,50,0.01
170,0.2,0.2,1,188,True,50,0.01
170,0.2,0.2,10,201,True,50,0.01
170,0.2,0.2,11,208,True,50,0.01
170,0.2,0.2,12,262,True,50,0.01
170,0.2,0.2,13,196,True,50,0.01
170,0.2,0.2,14,181,True,50,0.01
170,0.2,0.2,15,223,True,50,0.01
170,0.2,0.2,16,234,True,50,0.01
170,0.2,0.2,17,228,True,50,0.01
170,0.2,0.2,18,212,True,50,0.01
170,0.2,0.2,19,240,True,50,0.01
170,0.2,0.2,2,196,True,50,0.01
170,0.2,0.2,20,184,True,50,0.01
170,0.2,0.2,21,217,True,50,0.01
170,0.2,0.2,22,205,True,50,0.01
170,0.2,0.2,23,225,True,50,0.01
170,0.2,0.2,24,189,True,50,0.01
170,0.2,0.2,25,305,True,50,0.01
170,0.2,0.2,26,218,True,50,0.01
170,0.2,0.2,27,208,True,50,0.01
170,0.2,0.2,28,232,True,50,0.01
170,0.2,0.2,29,170,True,50,0.01
170,0.2,0.2,3,251,True,50,0.01
170,0.2,0.2,4,185,True,50,0.01
170,0.2,0.2,5,236,True,50,0.01
170,0.2,0.2,6,243,True,50,0.01
170,0.2,0.2,7,252,True,50,0.01
170,0.2,0.2,8,217,True,50,0.01
170,0.2,0.2,9,234,True,50,0.01
180,0.2,0.2,0,202,True,50,0.01
180,0.2,0.2,1,191,True,50,0.01
180,0.2,0.2,10,210,True,50,0.01
180,0.2,0.2,11,227,True,50,0.01
180,0.2,0.2,12,251,True,50,0.01
180,0.2,0.2,13,207,True,50,0.01
180,0.2,0.2,14,186,True,50,0.01
180,0.2,0.2,15,244,True,50,0.01
180,0.2,0.2,16,236,True,50,0.01
180,0.2,0.2,17,212,True,50,0.01
180,0.2,0.2,18,221,True,50,0.01
180,0.2,0.2,19,215,True,50,0.01
180,0.2,0.2,2,167,True,50,0.01
180,0.2,0.2,20,184,True,50,0.01
180,0.2,0.2,21,281,True,50,0.01
180,0.2,0.2,22,305,True,50,0.01
