N,J,K,seed,transient_time,converged,window_size,threshold
200,0.04,-0.040000000000000036,0,5300.0,True,50,0.01
200,0.04,-0.040000000000000036,1,5600.0,True,50,0.01
200,0.04,-0.040000000000000036,2,5100.0,True,50,0.01
200,0.04,-0.08000000000000007,0,5000.0,True,50,0.01
200,0.04,-0.08000000000000007,1,5200.0,True,50,0.01
200,0.04,-0.08000000000000007,2,5000.0,True,50,0.01
200,0.04,-0.12,0,5000.0,True,50,0.01
200,0.04,-0.12,1,5000.0,True,50,0.01
200,0.04,-0.12,2,5000.0,True,50,0.01
200,0.04,-0.16000000000000003,0,5000.0,True,50,0.01
200,0.04,-0.16000000000000003,1,5000.0,True,50,0.01
200,0.04,-0.16000000000000003,2,5000.0,True,50,0.01
200,0.04,-0.20000000000000007,0,5000.0,True,50,0.01
200,0.04,-0.20000000000000007,1,5000.0,True,50,0.01
200,0.04,-0.20000000000000007,2,5000.0,True,50,0.01
200,0.04,-0.24,0,5000.0,True,50,0.01
200,0.04,-0.24,1,5000.0,True,50,0.01
200,0.04,-0.24,2,5000.0,True,50,0.01
200,0.04,-0.28,0,5000.0,True,50,0.01
200,0.04,-0.28,1,5000.0,True,50,0.01
200,0.04,-0.28,2,5000.0,True,50,0.01
200,0.04,-0.32000000000000006,0,5000.0,True,50,0.01
200,0.04,-0.32000000000000006,1,5000.0,True,50,0.01
200,0.04,-0.32000000000000006,2,5000.0,True,50,0.01
200,0.04,-0.36000000000000004,0,5000.0,True,50,0.01
200,0.04,-0.36000000000000004,1,5000.0,True,50,0.01
200,0.04,-0.36000000000000004,2,5000.0,True,50,0.01
200,0.04,-0.44000000000000006,0,5000.0,True,50,0.01
200,0.04,-0.44000000000000006,1,5000.0,True,50,0.01
200,0.04,-0.44000000000000006,2,5000.0,True,50,0.01
200,0.04,-0.48000000000000004,0,5000.0,True,50,0.01
200,0.04,-0.48000000000000004,1,5000.0,True,50,0.01
200,0.04,-0.48000000000000004,2,5000.0,True,50,0.01
200,0.04,-0.4,0,5000.0,True,50,0.01
200,0.04,-0.4,1,5000.0,True,50,0.01
200,0.04,-0.4,2,5000.0,True,50,0.01
200,0.04,-0.52,0,5000.0,True,50,0.01
200,0.04,-0.52,1,5000.0,True,50,0.01
200,0.04,-0.52,2,5000.0,True,50,0.01
200,0.04,-0.56,0,5000.0,True,50,0.01
200,0.04,-0.56,1,5000.0,True,50,0.01
200,0.04,-0.56,2,5000.0,True,50,0.01
200,0.04,-0.6000000000000001,0,5000.0,True,50,0.01
200,0.04,-0.6000000000000001,1,5000.0,True,50,0.01
200,0.04,-0.6000000000000001,2,5000.0,True,50,0.01
200,0.04,-0.64,0,5000.0,True,50,0.01
200,0.04,-0.64,1,5000.0,True,50,0.01
200,0.04,-0.64,2,5000.0,True,50,0.01
200,0.04,-0.68,0,5000.0,True,50,0.01
200,0.04,-0.68,1,5000.0,True,50,0.01
200,0.04,-0.68,2,5000.0,True,50,0.01
200,0.04,-0.7200000000000001,0,5000.0,True,50,0.01
200,0.04,-0.7200000000000001,1,5000.0,True,50,0.01
200,0.04,-0.7200000000000001,2,5000.0,True,50,0.01
200,0.04,-0.76,0,5000.0,True,50,0.01
200,0.04,-0.76,1,5000.0,True,50,0.01
200,0.04,-0.76,2,5000.0,True,50,0.01
200,0.04,-0.8,0,5000.0,True,50,0.01
200,0.04,-0.8,1,5000.0,True,50,0.01
200,0.04,-0.8,2,5000.0,True,50,0.01
200,0.04,0.039999999999999925,0,6700.0,True,50,0.01
200,0.04,0.039999999999999925,1,6300.0,True,50,0.01
200,0.04,0.039999999999999925,2,6300.0,True,50,0.01
200,0.04,0.07999999999999996,0,5800.0,True,50,0.01
200,0.04,0.07999999999999996,1,5600.0,True,50,0.01
200,0.04,0.07999999999999996,2,5600.0,True,50,0.01
200,0.04,0.0,0,,False,50,0.01
200,0.04,0.0,1,,False,50,0.01
200,0.04,0.0,2,,False,50,0.01
200,0.04,0.12,0,5500.0,True,50,0.01
200,0.04,0.12,1,5300.0,True,50,0.01
200,0.04,0.12,2,5400.0,True,50,0.01
200,0.04,0.15999999999999992,0,5300.0,True,50,0.01
200,0.04,0.15999999999999992,1,5200.0,True,50,0.01
200,0.04,0.15999999999999992,2,5200.0,True,50,0.01
200,0.04,0.2,0,5300.0,True,50,0.01
