N,J,K,seed,transient_time
100,0.01,-0.010000000000000009,0,9840
100,0.01,-0.010000000000000009,1,9909
100,0.01,-0.010000000000000009,2,0
100,0.01,-0.020000000000000018,0,9963
100,0.01,-0.020000000000000018,1,9884
100,0.01,-0.020000000000000018,2,0
100,0.01,-0.030000000000000027,0,0
100,0.01,-0.030000000000000027,1,9932
100,0.01,-0.030000000000000027,2,0
100,0.01,-0.040000000000000036,0,0
100,0.01,-0.040000000000000036,1,210
100,0.01,-0.040000000000000036,2,0
100,0.01,-0.050000000000000044,0,0
100,0.01,-0.050000000000000044,1,9839
100,0.01,-0.050000000000000044,2,0
100,0.01,-0.06000000000000005,0,0
100,0.01,-0.06000000000000005,1,9690
100,0.01,-0.06000000000000005,2,0
100,0.01,-0.07000000000000006,0,0
100,0.01,-0.07000000000000006,1,9531
100,0.01,-0.07000000000000006,2,0
100,0.01,-0.08000000000000007,0,0
100,0.01,-0.08000000000000007,1,9691
100,0.01,-0.08000000000000007,2,0
100,0.01,-0.09000000000000008,0,0
100,0.01,-0.09000000000000008,1,3300
100,0.01,-0.09000000000000008,2,0
100,0.01,-0.09999999999999998,0,0
100,0.01,-0.09999999999999998,1,3040
100,0.01,-0.09999999999999998,2,0
100,0.01,-0.10999999999999999,0,0
100,0.01,-0.10999999999999999,1,2850
100,0.01,-0.10999999999999999,2,0
100,0.01,-0.12,0,0
100,0.01,-0.12,1,2700
100,0.01,-0.12,2,0
100,0.01,-0.13,0,0
100,0.01,-0.13,1,2590
100,0.01,-0.13,2,0
100,0.01,-0.14,0,0
100,0.01,-0.14,1,2420
100,0.01,-0.14,2,0
100,0.01,-0.15000000000000002,0,0
100,0.01,-0.15000000000000002,1,2130
100,0.01,-0.15000000000000002,2,0
100,0.01,-0.16000000000000003,0,0
100,0.01,-0.16000000000000003,1,1840
100,0.01,-0.16000000000000003,2,0
100,0.01,-0.17000000000000004,0,0
100,0.01,-0.17000000000000004,1,1640
100,0.01,-0.17000000000000004,2,0
100,0.01,-0.18000000000000005,0,0
100,0.01,-0.18000000000000005,1,1510
100,0.01,-0.18000000000000005,2,0
100,0.01,-0.19000000000000006,0,0
100,0.01,-0.19000000000000006,1,1410
100,0.01,-0.19000000000000006,2,0
100,0.01,-0.20000000000000007,0,0
100,0.01,-0.20000000000000007,1,1330
100,0.01,-0.20000000000000007,2,0
100,0.01,-0.21000000000000008,0,0
100,0.01,-0.21000000000000008,1,1270
100,0.01,-0.21000000000000008,2,0
100,0.01,-0.22000000000000008,0,0
100,0.01,-0.22000000000000008,1,1210
100,0.01,-0.22000000000000008,2,0
100,0.01,-0.22999999999999998,0,0
100,0.01,-0.22999999999999998,1,1160
100,0.01,-0.22999999999999998,2,0
100,0.01,-0.24,0,0
100,0.01,-0.24,1,1110
100,0.01,-0.24,2,0
100,0.01,-0.25,0,0
100,0.01,-0.25,1,1060
100,0.01,-0.25,2,0
100,0.01,-0.26,0,0
100,0.01,-0.26,1,1010
100,0.01,-0.26,2,0
100,0.01,-0.27,0,0
100,0.01,-0.27,1,960
